communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.5530412793159485,0.7759578227996826,-0.5547824501991272,0.770679771900177
20,1,-0.6036485433578491,0.7590407729148865,-0.6096438765525818,0.7498975992202759
40,2,-0.6234025955200195,0.796611487865448,-0.613569438457489,0.794635534286499
60,3,-1.1118957996368408,0.7806925773620605,-1.1454367637634277,0.7794840335845947
80,4,-1.1200798749923706,0.7394876480102539,-1.1479220390319824,0.7376126050949097
100,5,-0.7184295654296875,0.8134005665779114,-0.7417209148406982,0.8046683073043823
120,6,-0.7679685354232788,0.8137076497077942,-0.7864041328430176,0.8082514405250549
140,7,-0.6161009073257446,0.8234842419624329,-0.6202122569084167,0.8192055821418762
160,8,-0.7613167762756348,0.8247638940811157,-0.7756557464599609,0.818591296672821
180,9,-0.5291779041290283,0.808921754360199,-0.5376779437065125,0.8046683073043823
200,10,-0.8892720937728882,0.825608491897583,-0.9097836017608643,0.8194103240966797
