z,yz
-0.48987934,-1.3740487
2.7176538,0.8105649
-0.35853016,2.676659
-0.38737318,0.98671997
-0.003943771,-0.44905254
-0.23606814,2.3489118
-0.08435677,0.0056328876
3.798073,2.2532196
1.9685522,0.2661279
-0.043521646,-0.63516957
-2.342072,-0.5079976
-0.42604768,1.1702839
0.0016627327,-0.11421047
-0.37029323,-1.9740949
-0.23619866,-0.12684849
-2.8316722,-0.81566495
-3.8768902,-2.317804
-0.42296702,0.13549368
3.378985,1.4845592
-0.13465792,0.14489637
-2.1150973,-0.31423172
-0.3294075,0.25411656
1.3917506,1.5557159
-1.4821562,0.05614391
0.285777,1.1742401
-0.09602306,-0.5173604
-0.2517318,-0.13161513
-3.5116765,-1.7655951
-0.20216559,0.4717615
-0.4190378,-0.006439078
-0.4241146,0.1264101
-3.1287937,-1.1754279
-0.23482054,0.14102809
-0.23258948,-0.13131356
2.0415041,0.36432394
2.255488,0.38618386
-0.2611469,-2.0107825
-0.6168814,0.31306502
-0.47538108,0.16978417
-1.0041008,-0.648838
