iteration,train_mll,train_acc,test_mll,test_acc
0,-0.5529834032058716,0.7752411961555481,-0.554266095161438,0.7737510204315186
1,-0.41980913281440735,0.8519693613052368,-0.42207232117652893,0.8479729890823364
2,-0.3624419569969177,0.8519693613052368,-0.36785149574279785,0.8452088236808777
3,-0.347574383020401,0.8539400696754456,-0.3533628582954407,0.8489966988563538
4,-0.3374674618244171,0.854554295539856,-0.3458822965621948,0.8487919569015503
5,-0.3333882987499237,0.8530699014663696,-0.34085115790367126,0.8497133255004883
6,-0.32905900478363037,0.8547590374946594,-0.3365849554538727,0.8504299521446228
7,-0.3262884020805359,0.8547846078872681,-0.3349018394947052,0.8532964587211609
8,-0.3250664472579956,0.8538888692855835,-0.3343485891819,0.851965606212616
9,-0.3232274353504181,0.8559107184410095,-0.3321453332901001,0.8493038415908813
10,-0.3220582902431488,0.856115460395813,-0.3308922052383423,0.8494062423706055
11,-0.32259172201156616,0.8556804060935974,-0.3325253129005432,0.8509418368339539
12,-0.32257673144340515,0.8559874892234802,-0.3299960792064667,0.8529893755912781
13,-0.3205854892730713,0.8571648001670837,-0.32969388365745544,0.8530917167663574
14,-0.31977379322052,0.8576510548591614,-0.32909899950027466,0.8537060022354126
15,-0.3189975321292877,0.8576766848564148,-0.3272581696510315,0.8529893755912781
16,-0.31878605484962463,0.8572927713394165,-0.32935965061187744,0.8536036014556885
17,-0.31836193799972534,0.857088029384613,-0.3269561231136322,0.8530917167663574
18,-0.3173934519290924,0.8571648001670837,-0.3283967971801758,0.8540130853652954
19,-0.3167758285999298,0.8583932518959045,-0.3275858163833618,0.8539107441902161
20,-0.3162890374660492,0.8575998544692993,-0.32670465111732483,0.8536036014556885
21,-0.3170067071914673,0.8571135997772217,-0.3263198435306549,0.8535012006759644
22,-0.31661760807037354,0.8575998544692993,-0.3267386257648468,0.8525798320770264
23,-0.3162638247013092,0.8572927713394165,-0.3249110281467438,0.8532964587211609
24,-0.31619492173194885,0.8581117391586304,-0.3252509832382202,0.8525798320770264
25,-0.3154766261577606,0.8577278256416321,-0.32537269592285156,0.8523750901222229
26,-0.3153145909309387,0.8576254844665527,-0.3247421383857727,0.8539107441902161
27,-0.31467846035957336,0.8576766848564148,-0.32501888275146484,0.8532964587211609
28,-0.3153162896633148,0.8579069972038269,-0.32539594173431396,0.8539107441902161
29,-0.3144049048423767,0.858546793460846,-0.32513919472694397,0.853398859500885
30,-0.3144809305667877,0.8581885099411011,-0.32506969571113586,0.853398859500885
